,GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
1536,J120617+585933,20230039725,181.5434,58.9837,0.7195498864717383,40.88655287,7.60447216,-1.034095883,0.0111284181475639,196.9,5699.31,9.55,0.0108342666666666
1537,J115328+594156,20230040190,178.356,59.7118,30.66492359974382,116.3044366,10.2275219,-0.261035979,0.0349031463265419,258.31,3166.09,10.18,0.0348929333333333
1538,J122453+610349,20230040919,186.2102,61.0635,2.3779074854038287,11.2985476,7.307928085,-3.112894773,0.0023679716978222,67.86,9347.0,8.66,0.0023475333333333
1539,J111208+482234,20230030276,168.0438,48.3828,2.680412755613788,103.9191083,9.126256943,-0.310124755,0.0263660829514265,209.46,710.9,9.31,0.0262822333333333
1540,J102940+470931,20230051254,157.4333,47.1471,3.4859197908083908,180.1268355,10.7636795,-0.501689196,0.0579782724380493,141.76,491.42,9.78,0.0584069
1541,J120659+502707,20230032058,181.7429,50.4498,0.4455673742355206,184.9834521,8.477475166,-0.838170588,0.0233052931725978,152.63,514.97,9.06,0.0232868333333333
1542,J122035+505805,20230032497,185.1436,50.9652,4.771350437451641,177.7888433,10.48057365,0.073949635,0.0469355396926403,133.44,1394.61,10.07,0.0468895333333333
1543,J122810+534745,20230056695,187.05,53.7975,0.0646497580672818,154.5915091,9.645344734,-0.17956613,0.0354346632957458,187.94,725.4,9.56,0.0355012666666666
1544,J125553+532633,20230034989,193.9682,53.438,0.10660713079878033,84.54747299,8.318874359,-0.833534956,0.0233246590942144,90.76,307.01,8.83,0.0233117
1545,J134603+515128,20230033284,206.5154,51.8552,1.5136753201743653,167.2115817,9.928621292,0.022276115,0.0517586283385753,181.43,386.59,9.57,0.0516106
1546,J110638+532201,20230034880,166.6499,53.3473,167.1756983222322,198.2203648,11.19420815,0.612033129,0.0213652215898036,483.27,2708.9,9.71,0.0212888
1547,J130908+535637,20230063306,197.2907,53.9418,1.3767224580994293,64.42238457,9.051793098,-0.744363248,0.0083509311079978,197.23,6168.68,9.36,0.0083874666666666
1548,J131115+532254,20230034907,197.817,53.378,2.184195821813363,123.6019069,9.777318954,-0.094987035,0.0299264751374721,168.69,971.91,9.53,0.0299834
1549,J153506+430321,20230062288,233.7722,43.0533,0.21498253666776646,93.7441275,8.493893623,-1.108677626,0.0191745348274707,80.64,818.35,9.07,0.0191263666666666
1550,J154412+413749,20230062131,236.0613,41.6363,0.0696613402796261,70.66926702,8.902734756,-0.713322222,0.022673999890685,113.86,1553.72,9.47,0.0226460666666666
1551,J151449+461105,20230028215,228.7047,46.1902,0.6753290892439927,124.1248662,9.109898567,-0.36412099,0.0368023701012134,218.72,725.97,9.57,0.0368642
1552,J154711+420323,20230023030,236.7735,42.0592,1.5479276929990125,94.76131378,10.30034256,-0.004532941,0.0334045886993408,168.73,894.94,9.56,0.0333170999999999
1553,J154245+413545,20230062113,235.6909,41.5977,4.739761107485948,85.76001629,10.08598709,-0.021745438,0.0336115770041942,204.52,1300.55,9.73,0.0335457
1554,J154633+415503,20230022859,236.6367,41.9162,3.22546701520527,104.2426124,9.461578369,-0.326065391,0.0240406915545463,163.14,2736.09,9.75,0.0240365333333333
1555,J150840+473310,20230029559,227.1627,47.5555,0.2695114856188933,60.41644776,8.060944557,-1.243478298,0.0192231759428977,76.94,959.27,9.15,0.0191735666666666
1556,J152112+460752,20230028130,230.2985,46.1257,0.8830228968254172,148.1754686,7.074753284,-2.161137819,0.0063694813288748,86.76,663.98,8.17,0.0064009666666666
1557,J160041+402527,20230020529,240.1687,40.4241,5.518478844630502,127.2113098,9.688909531,-0.113518842,0.0302587617188692,254.65,1077.13,9.51,0.0302814333333333
1558,J154816+425552,20230024514,237.0602,42.9297,4.639727389268115,98.80433658,10.55517769,-1.352941036,0.0356274284422397,202.7,998.06,9.68,0.0355963666666666
1559,J154411+454341,20230027597,236.0446,45.7293,2.8447140647777514,136.4864052,9.186314583,-0.433196634,0.0350016728043556,126.69,699.55,9.51,0.0349864666666666
1560,J162101+385216,20230017961,245.2595,38.8642,0.05879088488807018,173.3303171,8.173197746,-1.39475596,0.017240596935153,106.7,564.81,8.82,0.0172085
1561,J162303+400412,20230062024,245.7683,40.0578,4.446778948500815,120.0906099,10.24202633,0.504733741,0.0597367621958255,265.58,1150.96,10.17,0.0596968
1562,J144639+551002,20230036905,221.6511,55.1604,11.425059408228924,133.2441398,10.89022541,-1.099264622,0.0404063872992992,306.65,1945.79,10.08,0.0403778
1563,J145348+543025,20230036188,223.463,54.5032,0.280058920196261,108.1549521,10.33609009,0.436742663,0.0366696529090404,244.76,621.08,9.5,0.0367008
1564,J162238+412842,20230062089,245.655,41.4797,0.30729365709750056,102.7475187,8.987384796,-0.667241395,0.0298510119318962,188.72,1014.4,9.47,0.0297979666666666
1565,J162703+384832,20230017891,246.7595,38.81,0.21703926748640615,173.0476769,8.844773293,-0.51167506,0.0331005118787288,84.59,928.68,9.56,0.0330985333333333
