GalaxyID,FASHIID,ra_h1,dec_h1,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1,type
J104854-004233,20230004640,162.2341,-0.7014,40.6638239,9.8,-0.216276854,0.026037091,226.49,2338.35,9.83,0.02600943333333333,S+S
J104854-004233,20230004640,162.2341,-0.7014,40.6638239,9.75,-0.698979378,0.02611633,226.49,2338.35,9.83,0.02600943333333333,S+S
J152246+592109,20230039980,230.7303,59.378,161.758486,10.712,0.581,0.075980753,269.13,1227.97,10.4,0.0761291,S+S
J111244+580648,20230057064,168.1879,58.0937,183.6973516,9.546,-0.541575849,0.032059081,199.78,765.25,9.5,0.0321144,S+S
J132955+583018,20230039364,202.5022,58.4852,64.83428247,10.707,0.326,0.063436709,342.54,2460.02,10.54,0.06300023333333334,S+E
J100721+553009,20230037223,151.8434,55.4957,16.07259003,9.474,-0.034074537,0.03254427,185.91,954.02,9.61,0.03258683333333333,S+S
J101439+561010,20230056735,153.672,56.1608,31.78691298,9.715,-0.04423504,0.026960311,193.61,908.07,9.43,0.0269571,S+S
J125423+604429,20230040779,193.6119,60.7499,70.78709224,9.967,0.209,0.058371,180.89,977.1,10.08,0.05838259999999999,S+S
J164240+401008,20230020179,250.6665,40.1647,108.7561753,10.609,-0.876285732,0.032454025,436.94,1116.06,9.6,0.03240116666666667,S+E
J154246+531905,20230034868,235.6983,53.3212,186.6012562,9.525,0.427,0.041449733,84.65,2143.34,10.13,0.041126666666666666,S+S
J171140+323354,20230009092,257.9137,32.5654,129.6742191,10.177,0.243,0.036526162,234.99,2089.49,10.01,0.03657506666666667,S+S
J161721+425323,20230024456,244.3241,42.8901,115.2727537,10.272,0.173,0.059122711,174.46,665.64,9.92,0.05898676666666666,S+S
J123223+624319,20230063989,188.1035,62.7092,124.6515874,9.386419296,0.185638532,0.034599859,58.74,1067.32,9.69,0.0346156,S+S
J163215+405130,20230055200,248.0677,40.8562,112.4443837,9.267,-0.817768395,0.029431332,109.73,587.38,9.21,0.02939116666666667,S+S
J163727+393250,20230019167,249.3699,39.5465,126.8433385,9.65,-0.183828279,0.031434603,212.05,999.33,9.51,0.0314634,S+S
J170039+324534,20230009289,255.1687,32.7152,79.29145913,9.924,-0.022485904,0.036751401,128.1,695.19,9.55,0.0371065,S+E
J164115+391724,20230018619,250.3101,39.2876,83.42282083,9.692584991,-0.114168897,0.030542297,132.24,3984.66,10.07,0.030490866666666668,S+S
J164324+392059,20230018720,250.857,39.3317,29.67013014,8.98,-0.084361985,0.030751329,186.99,3401.14,10.01,0.03062786666666667,S+S
J164324+392059,20230018720,250.857,39.3317,29.67013014,9.34,-0.246346548,0.030603835,186.99,3401.14,10.01,0.03062786666666667,S+S
J113921+623432,20230063973,174.9113,62.6,72.43787729,10.55,0.236,0.032955814,387.09,9302.99,10.59,0.03281546666666667,S+S
J113921+623432,20230063973,174.9113,62.6,72.43787729,10.608,0.204,0.032767262,387.09,9302.99,10.59,0.03281546666666667,S+S
J133402+614340,20230063905,203.5015,61.7234,61.55139763,10.391,0.261,0.031180089,249.75,1366.31,9.7,0.031161633333333334,S+E
J133854-014640,20230003882,204.7219,-1.7768,98.40239013,9.521,-0.535198331,0.022287924,55.94,1617.47,9.45,0.02224953333333333,S+S
J135012-022611,20230003319,207.5478,-2.4288,34.54707801,9.214,-0.498184353,0.023830684,431.84,4313.04,9.97,0.02422493333333333,S+S
J135012-022611,20230003319,207.5478,-2.4288,34.54707801,9.615,-0.647443295,0.02409509,431.84,4313.04,9.97,0.02422493333333333,S+S
J140243-022004,20230003377,210.6815,-2.3313,50.13762925,9.133,-0.631445825,0.024357915,275.37,2069.8,9.63,0.024485,S+S
J140243-022004,20230003377,210.6815,-2.3313,50.13762925,9.059,-0.992214501,0.024877854,275.37,2069.8,9.63,0.024485,S+S
J143514-020500,20230050650,218.7909,-2.0665,83.0250954,9.813,0.148,0.050452307,212.3,1885.0,10.24,0.050670266666666665,S+S
J143514-020500,20230050650,218.7909,-2.0665,83.0250954,9.561,-0.031684309,0.050931092,212.3,1885.0,10.24,0.050670266666666665,S+S
J144728-013802,20230003979,221.8714,-1.6375,49.94457795,10.89,0.65,0.042645026,363.23,3707.49,10.42,0.042842566666666665,S+S
J144728-013802,20230003979,221.8714,-1.6375,49.94457795,10.838,0.074,0.042836249,363.23,3707.49,10.42,0.042842566666666665,S+S
J163926+403609,20230020889,249.8531,40.602,157.5605078,9.801,-0.03795315,0.03472729,230.36,1057.86,9.68,0.03477796666666667,S+S
J171853+301136,20230060670,259.7123,30.1837,20.98708721,9.1,0.133,0.014822611,180.07,2769.68,9.35,0.014875499999999998,S+S
